ref	object	object_type	peeled_object	peeled_type	created_at	subject	original_url	commit_url
refs/tags/v4.15-rc2	9f92a4865a74b206034b1358b226a1237ad7e6c9	tag	ae64f9bd1d3621b5e60d7363bc20afb46aede215	commit	2017-12-03T11:02:00-05:00	Linux 4.15-rc2	https://github.com/extfuse/linux/releases/tag/v4.15-rc2	https://github.com/extfuse/linux/commit/ae64f9bd1d3621b5e60d7363bc20afb46aede215
refs/tags/v4.15-rc3	fa0dd402a43dd6a02af9f3b8690bc1c9d4090a26	tag	50c4c4e268a2d7a3e58ebb698ac74da0de40ae36	commit	2017-12-10T17:56:35-08:00	Linux 4.15-rc3	https://github.com/extfuse/linux/releases/tag/v4.15-rc3	https://github.com/extfuse/linux/commit/50c4c4e268a2d7a3e58ebb698ac74da0de40ae36
refs/tags/v4.15-rc4	e0e0c107ce60c16ec503033024744889ebd8f9d5	tag	1291a0d5049dbc06baaaf66a9ff3f53db493b19b	commit	2017-12-17T19:00:05-08:00	Linux 4.15-rc4	https://github.com/extfuse/linux/releases/tag/v4.15-rc4	https://github.com/extfuse/linux/commit/1291a0d5049dbc06baaaf66a9ff3f53db493b19b
refs/tags/v4.15-rc5	624b3b85d15a7e77a5e49f9496e42878cbb3bc8e	tag	464e1d5f23cca236b930ef068c328a64cab78fb1	commit	2017-12-23T20:47:32-08:00	Linux 4.15-rc5	https://github.com/extfuse/linux/releases/tag/v4.15-rc5	https://github.com/extfuse/linux/commit/464e1d5f23cca236b930ef068c328a64cab78fb1
refs/tags/v4.15-rc6	dabc25ee28d36fe572d2093224db0d02e5dc8da4	tag	30a7acd573899fd8b8ac39236eff6468b195ac7d	commit	2017-12-31T14:47:51-08:00	Linux 4.15-rc6	https://github.com/extfuse/linux/releases/tag/v4.15-rc6	https://github.com/extfuse/linux/commit/30a7acd573899fd8b8ac39236eff6468b195ac7d
refs/tags/v4.15-rc7	e43ec6ccc6aa9628bf2563eec17b9ce8ba9b30f7	tag	b2cd1df66037e7c4697c7e40496bf7e4a5e16a2d	commit	2018-01-07T14:22:50-08:00	Linux 4.15-rc7	https://github.com/extfuse/linux/releases/tag/v4.15-rc7	https://github.com/extfuse/linux/commit/b2cd1df66037e7c4697c7e40496bf7e4a5e16a2d
refs/tags/v4.15-rc8	9870bc69c9a9974f71b3063efc7d55397359d845	tag	a8750ddca918032d6349adbf9a4b6555e7db20da	commit	2018-01-14T15:32:37-08:00	Linux 4.15-rc8	https://github.com/extfuse/linux/releases/tag/v4.15-rc8	https://github.com/extfuse/linux/commit/a8750ddca918032d6349adbf9a4b6555e7db20da
refs/tags/v4.15-rc9	7d05020f7ea88483dde607796a072b97611c37f5	tag	0c5b9b5d9adbad4b60491f9ba0d2af38904bb4b9	commit	2018-01-21T13:51:33-08:00	Linux 4.15-rc9	https://github.com/extfuse/linux/releases/tag/v4.15-rc9	https://github.com/extfuse/linux/commit/0c5b9b5d9adbad4b60491f9ba0d2af38904bb4b9
refs/tags/v4.16	3fb78e8be9d9428fbc4c016f8b031b01a6fdd63d	tag	0adb32858b0bddf4ada5f364a84ed60b196dbcda	commit	2018-04-01T14:20:37-07:00	Linux 4.16	https://github.com/extfuse/linux/releases/tag/v4.16	https://github.com/extfuse/linux/commit/0adb32858b0bddf4ada5f364a84ed60b196dbcda
refs/tags/v4.16-rc1	5781e793a06a17edb3616114129f664f7b73161f	tag	7928b2cbe55b2a410a0f5c1f154610059c57b1b2	commit	2018-02-11T15:04:42-08:00	Linux 4.16-rc1	https://github.com/extfuse/linux/releases/tag/v4.16-rc1	https://github.com/extfuse/linux/commit/7928b2cbe55b2a410a0f5c1f154610059c57b1b2
